userID,ItemId,Rating
50,4,3
39,1,2
18,13,2
40,10,2
46,15,2
67,14,1
52,14,2
43,1,3
31,1,3
66,9,2
43,3,2
57,9,2
24,14,3
17,7,0
70,9,2
28,3,3
85,8,4
15,4,3
15,10,2
19,12,2
78,8,5
51,9,3
24,4,2
70,14,2
45,12,2
51,11,2
22,6,3
21,7,5
61,7,1
50,9,0
43,1,2
87,10,2
50,7,2
21,12,2
90,9,4
90,6,2
5,1,3
54,11,2
2,2,2
1,5,3
26,12,2
51,2,2
33,5,3
36,12,2
47,6,2
84,12,2
23,1,2
48,15,3
75,13,2
31,11,3
43,2,3
44,14,3
88,3,2
82,15,2
13,7,2
28,10,2
56,8,2
68,4,2
6,12,2
47,4,3
52,13,2
64,4,3
2,10,0
19,3,2
91,10,2
29,3,0
20,7,2
5,10,2
97,2,2
30,9,4
65,1,3
99,3,2
37,11,2
78,15,2
60,3,2
80,2,2
100,15,2
44,10,1
50,9,2
67,8,3
25,15,1
63,10,3
30,5,5
54,15,4
11,4,3
4,5,3
42,4,3
45,2,2
19,13,5
1,8,3
15,7,2
61,14,2
76,5,2
17,10,2
54,6,3
17,7,2
82,2,2
49,7,2
38,9,3
78,13,3
56,6,3
81,2,5
80,6,3
78,11,4
52,10,5
33,11,1
46,12,3
34,9,5
21,4,2
27,6,3
36,15,3
49,11,0
96,8,3
8,1,2
46,7,2
11,14,2
80,4,5
19,6,5
22,15,2
19,5,1
50,2,4
27,3,3
24,9,2
12,2,1
81,15,2
63,13,2
45,14,2
51,6,2
11,14,3
6,1,2
33,11,3
92,3,2
57,5,2
11,1,0
79,3,2
24,14,3
56,6,2
100,3,2
16,13,0
95,5,2
50,10,2
91,8,2
40,1,4
2,7,4
51,2,3
100,14,2
30,15,2
14,9,3
29,4,3
70,8,2
41,7,5
32,7,4
86,13,1
46,6,1
84,11,3
28,12,5
96,7,2
88,9,2
22,3,3
19,11,2
22,10,2
77,14,0
44,2,2
38,8,2
44,8,2
71,7,5
5,9,2
95,15,2
88,6,2
33,8,2
69,4,3
96,9,2
81,13,3
19,7,2
86,15,2
55,5,2
75,7,2
35,12,2
34,10,2
1,15,2
47,1,4
98,14,2
81,9,3
36,7,2
92,6,3
9,5,2
100,15,3
26,13,0
5,1,5
4,4,3
47,1,2
4,3,2
86,6,5
18,2,2
72,3,2
11,13,2
91,13,3
58,2,2
97,14,3
59,5,3
8,6,2
55,6,2
82,4,2
78,13,2
7,13,3
53,8,3
73,15,0
50,1,2
89,2,2
64,4,4
34,1,2
13,13,3
5,6,2
100,14,3
62,13,4
43,15,3
73,6,0
92,2,2
5,11,3
49,15,2
18,1,3
45,3,5
51,3,2
36,7,4
31,15,0
7,5,2
56,5,2
53,5,2
48,7,2
33,6,1
5,11,3
79,2,2
91,11,3
27,5,2
80,6,2
34,2,0
49,1,2
61,4,4
20,12,2
83,3,2
94,5,2
93,4,2
63,9,2
100,7,0
67,2,3
18,5,2
12,10,3
80,4,1
24,2,2
59,10,2
34,2,2
85,7,4
52,15,3
72,3,3
64,2,0
66,9,2
49,12,5
85,15,2
52,14,2
46,2,3
14,11,2
24,15,3
60,10,2
87,8,2
61,4,3
74,11,3
24,15,3
1,15,2
60,6,2
23,9,3
27,15,3
91,3,0
33,6,3
18,8,3
16,7,2
59,8,2
30,11,2
1,7,2
62,11,2
20,15,3
16,1,2
99,1,2
7,11,4
67,4,1
75,13,3
5,7,2
6,14,2
14,6,2
88,9,2
51,1,2
97,10,0
27,11,2
75,2,3
86,12,3
11,13,4
47,8,0
4,9,2
58,15,3
44,3,2
75,15,5
94,1,1
19,12,2
50,9,3
70,1,2
3,7,2
72,11,2
76,10,3
91,15,2
90,11,2
71,6,2
86,1,3
42,1,2
26,14,0
53,10,2
81,12,2
85,11,2
32,9,2
54,5,2
58,12,1
62,11,2
57,15,2
37,4,1
68,14,1
71,5,2
72,4,2
100,11,2
26,9,1
64,7,3
2,2,3
53,2,2
95,13,2
58,8,2
66,14,3
39,3,4
44,2,3
43,10,2
65,2,3
34,1,3
65,4,2
84,7,2
3,4,3
28,5,2
35,3,2
40,6,3
12,4,2
69,12,3
23,5,5
30,11,3
18,12,2
80,3,1
96,7,3
10,10,3
52,8,2
88,9,2
24,5,2
34,1,2
2,13,5
50,12,2
90,3,3
4,9,2
52,3,4
70,3,3
12,10,3
82,5,2
19,11,2
42,9,4
58,11,3
50,6,2
19,12,2
20,8,2
39,9,3
96,6,5
50,8,2
61,4,3
15,9,3
63,5,3
31,12,2
93,15,2
22,2,4
